station,date,air_temperature_celcius,relative_humidity,windspeed_knots,max_wind_speed,precipitation ,GHI_w/m2
948702,22-12-18,19,55.8,6,11.1, 0.00I,155
948702,23-12-18,19,53.9,8.3,14, 0.00I,158
948702,24-12-18,16,47,12,16.9, 0.00I,141
948702,25-12-18,17,50.4,10.8,16.9, 0.00I,145
948702,26-12-18,22,55.5,10.3,19, 0.00I,180
948702,27-12-18,28,58.3,9.3,15.9, 0.00I,223
948702,28-12-18,21,61.1,6.6,11.1, 0.00I,163
948702,29-12-18,19,59.7,7.4,14, 0.63G,150
948702,30-12-18,16,51.5,8.7,15, 0.02G,135
948702,31-12-18,18,53.6,7.9,15.9, 0.00G,150
948702,01-01-18,19,52.9,8.1,15, 0.00I,159
