latitude,longitude,datetime,confidence,date,surface_temperature_celcius
-37.46,141.3284,2018-10-01T04:10:28,64,01-10-18,52
-37.453,141.3296,2018-10-01T04:10:28,78,01-10-18,44
-37.45,141.3299,2018-09-29T04:22:41,70,29-09-18,37
-38.226,141.3318,2018-09-29T04:22:31,82,29-09-18,49
-35.954,141.3385,2018-09-27T04:35:36,78,27-09-18,50
-35.961,141.3392,2018-09-27T04:35:36,83,27-09-18,56
-35.963,141.341,2018-09-27T04:35:36,86,27-09-18,60
-36.275,141.3436,2018-09-27T04:35:27,72,27-09-18,45
-36.398,141.3451,2018-09-27T04:35:18,65,27-09-18,39
-35.953,141.3467,2018-09-27T00:21:05,79,27-09-18,49
-35.957,141.3474,2018-09-27T00:21:05,79,27-09-18,49
-37.087,141.3483,2018-09-26T03:52:14,64,26-09-18,33
-37.758,141.3486,2018-09-24T15:07:50,76,24-09-18,35
-37.561,141.3508,2018-09-24T15:07:49,73,24-09-18,34
-37.446,141.3528,2018-09-24T15:07:47,100,24-09-18,65
-37.448,141.3552,2018-09-24T15:07:47,72,24-09-18,59
-37.453,141.3558,2018-09-24T15:07:47,71,24-09-18,34
-37.457,141.3566,2018-09-24T15:07:47,90,24-09-18,41
-37.437,141.3581,2018-09-24T15:07:47,99,24-09-18,61
-37.434,141.36,2018-09-24T15:07:47,70,24-09-18,52
-37.538,141.3605,2018-09-24T15:07:46,74,24-09-18,35
-37.333,141.3607,2018-09-24T15:07:45,94,24-09-18,43
-37.33,141.3614,2018-09-24T15:07:45,100,24-09-18,61
-37.327,141.3621,2018-09-24T13:30:10,100,24-09-18,47
-37.375,141.3622,2018-09-24T13:30:09,59,24-09-18,35
-37.336,141.3641,2018-09-24T13:30:09,82,24-09-18,38
-37.332,141.3646,2018-09-24T13:30:09,100,24-09-18,48
-37.363,141.3669,2018-09-24T13:30:09,100,24-09-18,48
-37.438,141.37,2018-09-24T13:30:07,84,24-09-18,50
-37.406,141.373,2018-09-24T04:04:19,100,24-09-18,88
-37.397,141.373,2018-09-24T04:04:19,58,24-09-18,58
-37.452,141.3743,2018-09-24T04:04:18,68,24-09-18,77
-37.465,141.3765,2018-09-24T04:04:18,68,24-09-18,63
-37.45,141.379,2018-09-24T04:04:18,64,24-09-18,69
-37.436,141.379,2018-09-24T04:04:18,86,24-09-18,76
-37.444,141.3853,2018-09-24T04:04:18,73,24-09-18,66
-37.562,141.3879,2018-09-24T04:04:17,61,24-09-18,72
-38.5,141.3903,2018-09-24T04:04:04,74,24-09-18,40
-38.498,141.3946,2018-09-24T04:04:04,84,24-09-18,52
-38.495,141.3986,2018-09-24T04:04:04,56,24-09-18,53
-37.497,141.3991,2018-09-23T23:50:45,70,23-09-18,37
-37.57,141.3998,2018-09-23T23:50:44,86,23-09-18,56
-37.559,141.4047,2018-09-23T23:50:43,56,23-09-18,41
-37.379,141.406,2018-09-23T23:50:40,58,23-09-18,82
-37.379,141.4064,2018-09-23T23:50:40,62,23-09-18,78
-37.434,141.4172,2018-09-23T12:47:12,100,23-09-18,56
-37.396,141.4191,2018-09-23T12:47:12,100,23-09-18,65
-37.406,141.427,2018-09-23T12:47:12,100,23-09-18,48
-37.415,141.4277,2018-09-23T12:47:12,100,23-09-18,52
-37.425,141.4285,2018-09-23T12:47:12,100,23-09-18,50
-37.391,141.4325,2018-09-23T12:47:12,75,23-09-18,39
-37.399,141.4403,2018-09-23T12:47:12,100,23-09-18,84
-37.401,141.4417,2018-09-23T12:47:12,100,23-09-18,79
-36.984,141.4435,2018-09-23T04:59:18,50,23-09-18,35
-37.335,141.4449,2018-09-23T04:59:13,88,23-09-18,60
-37.347,141.4495,2018-09-23T04:59:13,61,23-09-18,36
-37.569,141.4514,2018-09-23T04:59:11,87,23-09-18,60
-37.585,141.4518,2018-09-23T04:59:11,80,23-09-18,50
-37.586,141.4541,2018-09-23T04:59:10,77,23-09-18,47
-36.996,141.4546,2018-09-23T03:21:28,70,23-09-18,40
-36.995,141.4578,2018-09-23T03:21:28,56,23-09-18,37
-37.554,141.4578,2018-09-23T03:21:19,63,23-09-18,37
-37.564,141.4593,2018-09-23T03:21:19,74,23-09-18,44
-36.012,141.4603,2018-09-22T04:17:10,71,22-09-18,45
-37.227,141.4699,2018-09-21T05:11:47,73,21-09-18,39
-37.228,141.4711,2018-09-21T05:11:46,76,21-09-18,42
-37.235,141.4716,2018-09-20T04:29:03,78,20-09-18,44
-37.246,141.4724,2018-09-20T04:29:03,89,20-09-18,60
-37.237,141.4747,2018-09-20T04:29:03,100,20-09-18,112
-37.238,141.4778,2018-09-20T04:29:03,73,20-09-18,42
-38.002,141.4881,2018-09-20T04:28:45,88,20-09-18,60
-34.2695,141.4882,2018-09-10T04:00:00,80,10-09-18,54
-34.2838,141.4916,2018-09-10T03:53:00,84,10-09-18,58
-34.2803,141.4933,2018-09-10T03:50:30,86,10-09-18,60
-34.2782,141.4934,2018-09-10T03:50:10,81,10-09-18,54
-37.4421,141.4938,2018-08-14T04:15:40,56,14-08-18,39
-38.0173,141.4943,2018-08-14T04:11:00,61,14-08-18,41
-37.4754,141.4964,2018-08-14T04:10:20,67,14-08-18,43
-37.443,141.4973,2018-08-14T04:09:30,61,14-08-18,41
-37.7836,141.4983,2018-08-14T04:07:50,58,14-08-18,40
-34.848,141.5002,2018-08-13T05:13:30,54,13-08-18,41
-34.7919,141.5016,2018-08-13T05:08:00,87,13-08-18,62
-34.8421,141.5039,2018-08-13T05:06:10,71,13-08-18,45
-34.7872,141.505,2018-08-13T05:05:10,80,13-08-18,53
-34.8425,141.5154,2018-08-13T05:05:00,63,13-08-18,42
-34.793,141.5163,2018-08-13T05:03:10,63,13-08-18,42
-34.8006,141.5175,2018-08-13T05:03:00,77,13-08-18,50
-34.7979,141.5197,2018-08-13T05:02:40,77,13-08-18,50
-34.8368,141.5238,2018-08-13T05:02:30,83,13-08-18,56
-37.5537,141.5266,2018-08-10T04:32:00,74,10-08-18,63
-37.8519,141.5272,2018-08-05T04:20:10,59,05-08-18,40
-37.4796,141.5296,2018-08-02T03:45:40,94,02-08-18,87
-37.491,141.5336,2018-08-02T03:45:00,54,02-08-18,40
-38.3998,141.5341,2018-08-01T00:20:30,89,01-08-18,65
-38.3982,141.5355,2018-08-01T00:19:30,78,01-08-18,51
-37.8641,141.5361,2018-07-31T13:21:00,100,31-07-18,51
-37.8658,141.5387,2018-07-31T13:21:00,92,31-07-18,43
-37.8475,141.5402,2018-07-29T04:07:50,76,29-07-18,50
-37.8565,141.541,2018-07-29T04:07:50,71,29-07-18,46
-38.5194,141.5413,2018-07-14T04:58:10,63,14-07-18,42
-38.5233,141.5413,2018-07-14T04:50:20,61,14-07-18,41
-37.8662,141.543,2018-07-06T04:08:00,83,06-07-18,56
-37.8644,141.543,2018-07-06T04:02:00,91,06-07-18,69
-37.8757,141.5458,2018-07-06T04:02:00,66,06-07-18,43
-38.4031,141.5495,2018-07-05T23:44:00,69,05-07-18,45
-37.8067,141.5508,2018-07-04T04:14:00,57,04-07-18,40
-36.397,141.5513,2018-07-02T04:29:18,84,02-07-18,52
-36.397,141.5514,2018-07-02T04:29:18,84,02-07-18,52
-37.067,141.5517,2018-07-02T04:29:10,69,02-07-18,36
